"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C91","CAPC2012X140N","51.2mm","23.9001mm","51.2mm","23.9mm","51.2mm","23.0001mm","B","90.00","47uF"
"C90","CAPC1608X87N","56.4999mm","31.5mm","56.5mm","31.5mm","56.4999mm","32.3mm","B","270.00","470nF"
"C89","CAPC1608X87N","56.4999mm","25.325mm","56.5mm","25.325mm","55.6999mm","25.325mm","B","360.00","470nF"
"C88","CAPC1608X87N","59.2749mm","29.475mm","59.275mm","29.475mm","59.2749mm","30.275mm","B","270.00","470nF"
"C87","CAPC1608X87N","57.325mm","26.5751mm","57.325mm","26.575mm","58.125mm","26.5751mm","B","180.00","470nF"
"C86","CAPC1608X87N","59.3mm","25.5mm","59.3mm","25.5mm","59.3mm","24.7mm","B","90.00","4.7uF"
"C85","CAPC1608X87N","56.4999mm","29.4999mm","56.5mm","29.5mm","55.6999mm","29.4999mm","B","360.00","4.7uF"
"C84","CAPC2012X140N","41.45mm","26.2751mm","41.45mm","26.275mm","41.45mm","25.3751mm","B","90.00","47uF"
"C83","CAPC1608X87N","65.5249mm","38.55mm","65.525mm","38.55mm","65.5249mm","39.35mm","B","270.00","470nF"
"C82","CAPC1608X87N","56.4749mm","42.3mm","56.475mm","42.3mm","56.4749mm","43.1mm","B","270.00","470nF"
"C81","CAPC1608X87N","58.2749mm","36.125mm","58.275mm","36.125mm","58.2749mm","36.925mm","B","270.00","470nF"
"C80","CAPC1608X87N","60.6999mm","36.5249mm","60.7mm","36.525mm","59.8999mm","36.5249mm","B","360.00","470nF"
"C79","CAPC1608X87N","59.5499mm","34.55mm","59.55mm","34.55mm","59.5499mm","35.35mm","B","270.00","4.7uF"
"C78","CAPC1608X87N","77.9mm","34.0001mm","77.9mm","34mm","78.7mm","34.0001mm","B","180.00","4.7uF"
"C77","CAPC2012X140N","76.5249mm","35.65mm","76.525mm","35.65mm","77.4249mm","35.65mm","B","180.00","47uF"
"C76","CAPC1608X87N","68.4999mm","39.325mm","68.5mm","39.325mm","68.4999mm","40.125mm","B","270.00","470nF"
"C75","CAPC1608X87N","76.3mm","37.5251mm","76.3mm","37.525mm","77.1mm","37.5251mm","B","180.00","470nF"
"C74","CAPC1608X87N","70.525mm","20.7mm","70.525mm","20.7mm","70.525mm","19.9mm","B","90.00","470nF"
"C73","CAPC1608X87N","54.7mm","34.4999mm","54.7mm","34.5mm","53.9mm","34.4999mm","B","360.00","470nF"
"C72","CAPC1608X87N","54.0749mm","40.8499mm","54.075mm","40.85mm","53.2749mm","40.8499mm","B","360.00","4.7uF"
"C71","CAPC1608X87N","54.8mm","37.0001mm","54.8mm","37mm","55.6mm","37.0001mm","B","180.00","4.7uF"
"C70","CAPC2012X140N","53.4751mm","38.95mm","53.475mm","38.95mm","52.575mm","38.95mm","B","360.00","47uF"
"C69","CAPC1608X87N","60.2501mm","20.65mm","60.25mm","20.65mm","60.2501mm","19.85mm","B","90.00","470nF"
"C68","CAPC1608X87N","66.5751mm","22.55mm","66.575mm","22.55mm","66.5751mm","21.75mm","B","90.00","470nF"
"C67","CAPC1608X87N","67.025mm","19.175mm","67.025mm","19.175mm","67.025mm","18.375mm","B","90.00","470nF"
"C66","CAPC1608X87N","68.5001mm","20.675mm","68.5mm","20.675mm","68.5001mm","19.875mm","B","90.00","470nF"
"C65","CAPC1608X87N","63.2501mm","21.55mm","63.25mm","21.55mm","63.2501mm","20.75mm","B","90.00","4.7uF"
"C64","CAPC1608X87N","61.9001mm","20.65mm","61.9mm","20.65mm","61.9001mm","19.85mm","B","90.00","4.7uF"
"C63","CAPC2012X140N","56.65mm","19.1mm","56.65mm","19.1mm","56.65mm","18.2001mm","B","90.00","47uF"
"C62","CAPC1608X87N","72.55mm","32.55mm","72.55mm","32.55mm","73.35mm","32.55mm","B","180.00","470nF"
"C61","CAPC1608X87N","70.0001mm","42.225mm","70mm","42.225mm","70.0001mm","41.425mm","B","90.00","470nF"
"C60","CAPC1608X87N","66.7mm","41.4999mm","66.7mm","41.5mm","65.9mm","41.4999mm","B","360.00","470nF"
"C59","CAPC1608X87N","56.6749mm","38.4999mm","56.675mm","38.5mm","55.8749mm","38.4999mm","B","360.00","470nF"
"C58","CAPC1608X87N","59.9999mm","43.75mm","60mm","43.75mm","59.9999mm","44.55mm","B","270.00","4.7uF"
"C57","CAPC1608X87N","59.7mm","39.4999mm","59.7mm","39.5mm","58.9mm","39.4999mm","B","360.00","4.7uF"
"C56","CAPC2012X140N","51.6999mm","35.45mm","51.7mm","35.45mm","51.6999mm","34.55mm","B","90.00","47uF"
"C55","CAPC1608X87N","75.8mm","30.4001mm","75.8mm","30.4mm","76.6mm","30.4001mm","B","180.00","470nF"
"C54","CAPC1608X87N","73.3mm","36.5251mm","73.3mm","36.525mm","74.1mm","36.5251mm","B","180.00","470nF"
"C53","CAPC1608X87N","69.4999mm","36.575mm","69.5mm","36.575mm","69.4999mm","37.375mm","B","270.00","470nF"
"C52","CAPC1608X87N","76.275mm","27.5251mm","76.275mm","27.525mm","77.075mm","27.5251mm","B","180.00","470nF"
"C51","CAPC1608X87N","72.525mm","24.625mm","72.525mm","24.625mm","72.525mm","23.825mm","B","90.00","4.7uF"
"C50","CAPC1608X87N","74.15mm","33.825mm","74.15mm","33.825mm","74.95mm","33.825mm","B","180.00","4.7uF"
"C49","CAPC2012X140N","76.475mm","25.9mm","76.475mm","25.9mm","77.3749mm","25.9mm","B","180.00","47uF"
"C48","CAPC1608X87N","77.825mm","24.0001mm","77.825mm","24mm","78.625mm","24.0001mm","B","180.00","470nF"
"C47","CAPC1608X87N","73.2001mm","21.7mm","73.2mm","21.7mm","73.2001mm","20.9mm","B","90.00","470nF"
"C28","CAPC1608X87N","88.85mm","0.35mm","88.85mm","0.35mm","88.05mm","0.35mm","T","360.00","100nF"
"C27","CAPC1608X87N","44.4mm","34.9101mm","44.4mm","34.91mm","43.6mm","34.9101mm","T","360.00","100nF"
"C26","CAPC1608X87N","78.85mm","42.125mm","78.85mm","42.125mm","78.85mm","42.925mm","T","270.00","100nF"
"C25","CAPC1608X87N","-5.3856mm","45.3953mm","-5.3857mm","45.3954mm","-4.5856mm","45.3953mm","T","180.00","10nF"
"C24","CAPC1608X87N","84.425mm","85.2mm","84.425mm","85.2mm","84.425mm","86mm","T","270.00","10nF"
"C23","CAPC1608X87N","88.6503mm","85.2mm","88.6502mm","85.2mm","88.6503mm","86mm","T","270.00","100nF"
"C22","CAPC1608X87N","69.3903mm","85.2232mm","69.3902mm","85.2231mm","69.3903mm","86.0232mm","T","270.00","10nF"
"C21","CAPC1608X87N","73.2905mm","85.2232mm","73.2904mm","85.2231mm","73.2905mm","86.0232mm","T","270.00","100nF"
"C20","CAPC1608X87N","55.1907mm","85.0232mm","55.1906mm","85.0231mm","55.1907mm","85.8231mm","T","270.00","10nF"
"C19","CAPC1608X87N","59.2409mm","85.0232mm","59.2408mm","85.0231mm","59.2409mm","85.8231mm","T","270.00","100nF"
"C18","CAPC1608X87N","39.1161mm","85.0232mm","39.116mm","85.0231mm","39.1161mm","85.8231mm","T","270.00","10nF"
"C17","CAPC1608X87N","43.1663mm","85.0232mm","43.1662mm","85.0231mm","43.1663mm","85.8231mm","T","270.00","100nF"
"C16","CAPC1608X87N","27.8904mm","85.2769mm","27.8905mm","85.2769mm","27.8904mm","84.4769mm","T","90.00","10nF"
"C15","CAPC1608X87N","23.8403mm","85.2769mm","23.8403mm","85.2769mm","23.8403mm","84.4769mm","T","90.00","100nF"
"C14","CAPC1608X87N","8.3599mm","85.4232mm","8.3599mm","85.4231mm","8.3599mm","86.2232mm","T","270.00","10nF"
"C13","CAPC1608X87N","12.4101mm","85.4232mm","12.4101mm","85.4231mm","12.4101mm","86.2232mm","T","270.00","100nF"
"C12","CAPC1608X87N","85.4604mm","114.9981mm","85.4603mm","114.9981mm","85.4604mm","115.7982mm","T","270.00","10nF"
"C11","CAPC1608X87N","89.1855mm","114.9981mm","89.1855mm","114.9981mm","89.1855mm","115.7982mm","T","270.00","100nF"
"C10","CAPC1608X87N","69.7107mm","114.8731mm","69.7107mm","114.8731mm","69.7107mm","115.6732mm","T","270.00","10nF"
"C9","CAPC1608X87N","72.9359mm","114.8731mm","72.9358mm","114.8731mm","72.9359mm","115.6732mm","T","270.00","100nF"
"C8","CAPC1608X87N","53.8795mm","114.6732mm","53.8794mm","114.6731mm","53.8795mm","115.4732mm","T","270.00","10nF"
"C7","CAPC1608X87N","55.6001mm","114.675mm","55.6mm","114.675mm","55.6001mm","115.475mm","T","270.00","100nF"
"C6","CAPC1608X87N","38.5251mm","114.75mm","38.525mm","114.75mm","38.5251mm","115.55mm","T","270.00","10nF"
"C5","CAPC1608X87N","40.4001mm","114.75mm","40.4mm","114.75mm","40.4001mm","115.55mm","T","270.00","100nF"
"C4","CAPC1608X87N","23.2001mm","114.775mm","23.2mm","114.775mm","23.2001mm","115.575mm","T","270.00","10nF"
"C3","CAPC1608X87N","24.9501mm","114.775mm","24.95mm","114.775mm","24.9501mm","115.575mm","T","270.00","100nF"
"C2","CAPC1608X87N","8.1751mm","114.8mm","8.175mm","114.8mm","8.1751mm","115.6mm","T","270.00","10nF"
"C1","CAPC1608X87N","9.975mm","114.775mm","9.975mm","114.775mm","9.975mm","115.575mm","T","270.00","100nF"
"P1","BTH-030-01-F-D-A","64.782mm","4.698mm","64.782mm","4.698mm","57.532mm","1.612mm","B","360.00","BTH-030-01-FDA"
"P2","BTH-030-01-F-D-A","21.578mm","49.918mm","21.578mm","49.918mm","14.328mm","46.832mm","B","360.00","BTH-030-01-FDA"
"P3","BTH-030-01-F-D-A","64.782mm","49.918mm","64.782mm","49.918mm","57.532mm","46.832mm","B","360.00","BTH-030-01-FDA"
"P4","BTH-030-01-F-D-A","21.578mm","4.698mm","21.578mm","4.698mm","14.328mm","1.612mm","B","360.00","BTH-030-01-FDA"
"J8","COMATEL_385.0358.1.02.400","93.6mm","98.27mm","93.6mm","97mm","93.6mm","97mm","T","90.00","Test Point"
"C103","CAPC2012X135N","-1.4mm","24.925mm","-1.4mm","24.925mm","-1.4mm","24.025mm","B","90.00","4.7uF"
"R112","RESC1608X55N","16.125mm","16.025mm","16.125mm","16.025mm","16.125mm","16.825mm","B","270.00","4k7"
"R113","RESC1608X55N","11mm","15.05mm","11mm","15.05mm","11.8mm","15.05mm","B","180.00","4k7"
"R114","RESC1608X55N","9.5mm","30.225mm","9.5mm","30.225mm","9.5mm","29.425mm","B","90.00","4k7"
"R115","RESC1608X55N","18.475mm","27.875mm","18.475mm","27.875mm","17.675mm","27.875mm","B","360.00","4k7"
"C133","CAPC1608X87N","67.325mm","35.05mm","67.325mm","35.05mm","67.325mm","35.85mm","B","270.00","470nF"

